siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-01 00:00",1.5
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-01 00:00",0.18
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-01 00:00",29
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-01 00:00",29
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-01 00:00",4
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-12-01 00:00",13
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-12-01 01:00",12
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-01 01:00",0.21
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-01 01:00",33
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-01 01:00",37
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-01 01:00",5
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-01 01:00",1.2
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-01 02:00",7
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-01 02:00",0.34
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-01 02:00",1.4
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-01 02:00",65
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-12-01 02:00",26
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-01 02:00",28
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-01 03:00",6
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-01 03:00",30
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-01 03:00",54
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-01 03:00",1.4
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-01 03:00",0.28
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-12-01 03:00",25
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-01 04:00",4
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-12-01 04:00",19
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-01 04:00",53
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-01 04:00",35
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-01 04:00",1.2
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-01 04:00",0.24
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-01 05:00",5
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-01 05:00",1.4
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-01 05:00",0.32
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-01 05:00",30
